Date,Attendance,EmployeeID
01032015,P,201411040
01032015,P,201411041
01032015,A,201411042
01032015,C,201411043
01032015,M,201411044
01032015,P,201411045
02032015,P,201411040
02032015,P,201411041
02032015,P,201411042
02032015,M,201411043
02032015,P,201411044
02032015,P,201411045
03032015,M,201411040
03032015,C,201411041
03032015,P,201411042
03032015,P,201411043
03032015,P,201411044
03032015,P,201411045
04032015,P,201411040
04032015,P,201411041
04032015,P,201411042
04032015,P,201411043
04032015,C,201411044
04032015,P,201411045
05032015,A,201411040
05032015,A,201411041
05032015,P,201411042
05032015,P,201411043
05032015,P,201411044
05032015,P,201411045
06032015,M,201411040
06032015,A,201411041
06032015,C,201411042
06032015,P,201411043
06032015,A,201411044
06032015,P,201411045
07032015,P,201411040
07032015,P,201411041
07032015,P,201411042
07032015,A,201411043
07032015,P,201411044
07032015,P,201411045
08032015,P,201411040
08032015,A,201411041
08032015,C,201411042
08032015,P,201411043
08032015,P,201411044
08032015,P,201411045
09032015,M,201411040
09032015,P,201411041
09032015,C,201411042
09032015,P,201411043
09032015,P,201411044
09032015,P,201411045
10032015,C,201411040
10032015,A,201411041
10032015,P,201411042
10032015,P,201411043
10032015,A,201411044
10032015,P,201411045
11032015,M,201411040
11032015,P,201411041
11032015,C,201411042
11032015,M,201411043
11032015,P,201411044
11032015,P,201411045
12032015,P,201411040
12032015,C,201411041
12032015,P,201411042
12032015,P,201411043
12032015,P,201411044
12032015,P,201411045
13032015,C,201411040
13032015,P,201411041
13032015,P,201411042
13032015,P,201411043
13032015,A,201411044
13032015,P,201411045
14032015,P,201411040
14032015,P,201411041
14032015,C,201411042
14032015,P,201411043
14032015,A,201411044
14032015,P,201411045
15032015,P,201411040
15032015,C,201411041
15032015,P,201411042
15032015,P,201411043
15032015,A,201411044
15032015,P,201411045
16032015,A,201411040
16032015,P,201411041
16032015,P,201411042
16032015,P,201411043
16032015,A,201411044
16032015,P,201411045
17032015,P,201411040
17032015,P,201411041
17032015,P,201411042
17032015,P,201411043
17032015,P,201411044
17032015,P,201411045
18032015,A,201411040
18032015,P,201411041
18032015,M,201411042
18032015,A,201411043
18032015,C,201411044
18032015,P,201411045
19032015,P,201411040
19032015,P,201411041
19032015,P,201411042
19032015,P,201411043
19032015,P,201411044
19032015,P,201411045
20032015,C,201411040
20032015,P,201411041
20032015,A,201411042
20032015,P,201411043
20032015,P,201411044
20032015,C,201411045
21032015,P,201411040
21032015,P,201411041
21032015,P,201411042
21032015,P,201411043
21032015,P,201411044
21032015,C,201411045
22032015,L,201411040
22032015,C,201411041
22032015,A,201411042
22032015,C,201411043
22032015,P,201411044
22032015,C,201411045
23032015,P,201411040
23032015,C,201411041
23032015,P,201411042
23032015,P,201411043
23032015,P,201411044
23032015,P,201411045
24032015,L,201411040
24032015,P,201411041
24032015,A,201411042
24032015,P,201411043
24032015,P,201411044
24032015,C,201411045
25032015,P,201411040
25032015,P,201411041
25032015,A,201411042
25032015,C,201411043
25032015,P,201411044
25032015,P,201411045
26032015,P,201411040
26032015,P,201411041
26032015,C,201411042
26032015,P,201411043
26032015,P,201411044
26032015,M,201411045
27032015,P,201411040
27032015,P,201411041
27032015,C,201411042
27032015,P,201411043
27032015,M,201411044
27032015,P,201411045
28032015,P,201411040
28032015,M,201411041
28032015,A,201411042
28032015,P,201411043
28032015,P,201411044
28032015,C,201411045
29032015,P,201411040
29032015,M,201411041
29032015,P,201411042
29032015,P,201411043
29032015,A,201411044
29032015,A,201411045
30032015,P,201411040
30032015,P,201411041
30032015,P,201411042
30032015,A,201411043
30032015,P,201411044
30032015,P,201411045
